t,i,k,hs02_desc,section,section_name,v,share
2021,398,30379,"Fish: frozen, n.e.s. in heading no. 0303 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,10269.644999999999,1.8992475201795884e-4
2021,398,30380,"Fish: livers and roes, frozen",1,Live animals; animal products,187.57000000000002,3.468881907408537e-6
2021,398,30410,"Fish: fillets and other fish meat, fresh or chilled (whether or not minced)",1,Live animals; animal products,1366.346,2.526892849954697e-5
2021,398,30420,"Fish: fillets, frozen",1,Live animals; animal products,46310.233,8.564521478998441e-4
2021,398,30490,"Fish: fish meat n.e.s. in heading no. 0304 (whether or not minced), fresh, chilled or frozen",1,Live animals; animal products,741.6789999999999,1.3716462463106337e-5
2021,398,30510,Fish meal: fit for human consumption,1,Live animals; animal products,68.077,1.2590023650405233e-6
2021,398,30520,"Fish: livers and roes, dried, smoked (whether or not cooked before or during the smoking process), salted or in brine",1,Live animals; animal products,341.96000000000004,6.324139558870946e-6
2021,398,30530,"Fish: fillets, dried, salted or in brine, but not smoked",1,Live animals; animal products,822.245,1.5206433885787347e-5
2021,398,30549,"Fish: smoked (whether or not cooked before or during the smoking process), n.e.s. in item no. 0305.4 (including fillets)",1,Live animals; animal products,52.572,9.72256009150086e-7
2021,398,30551,"Fish: cod (gadus morhua, gadus ogac, gadus macrocephalus), dried (whether or not salted but not smoked)",1,Live animals; animal products,464.44599999999997,8.589371042108361e-6
2021,398,30559,"Fish: dried (whether or not salted but not smoked), n.e.s. in item no. 0305.51",1,Live animals; animal products,3759.3869999999997,6.952534812201769e-5
2021,398,30569,"Fish: salted or in brine, but not dried or smoked, n.e.s. in item no. 0305.6",1,Live animals; animal products,530.639,9.813531089541818e-6
2021,398,30613,"Crustaceans: shrimps and prawns, frozen (whether in shell or not, whether or not cooked by steaming or by boiling in water)",1,Live animals; animal products,1057.289,1.9553290414256354e-5
2021,398,30619,"Crustaceans: frozen, n.e.s. in item no. 0306.1 (whether in shell or not, whether or not cooked by steaming or by boiling in water)",1,Live animals; animal products,8.674,1.6041521386608545e-7
2021,398,40110,"Dairy produce: milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content not exceeding 1% (by weight)",1,Live animals; animal products,2.313,4.277615744434583e-8
2021,398,40120,"Dairy produce: milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content exceeding 1% but not exceeding 6% (by weight)",1,Live animals; animal products,13559.226000000002,2.5076160233440014e-4
2021,398,40130,"Dairy produce: milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content exceeding 6% (by weight)",1,Live animals; animal products,434.04600000000005,8.02715954781173e-6
2021,398,40210,"Dairy produce: milk and cream, concentrated or containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content not exceeding 1.5% (by weight)",1,Live animals; animal products,656.687,1.2144637485367543e-5
2021,398,40221,"Dairy produce: milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)",1,Live animals; animal products,3054.1319999999996,5.648250379931465e-5
2021,398,40291,"Dairy produce: milk and cream, concentrated, not containing added sugar or other sweetening matter, other than in powder, granules or other solid forms",1,Live animals; animal products,27.817,5.14442011080574e-7
2021,398,40299,"Dairy produce: milk and cream, containing added sugar or other sweetening matter, other than in powder, granules or other solid forms",1,Live animals; animal products,1748.5140000000001,3.233666673482183e-5
2021,398,40310,"Dairy produce: yoghurt, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit or cocoa",1,Live animals; animal products,9565.801,1.769080024458628e-4
2021,398,40390,"Dairy produce: buttermilk, curdled milk or cream, kephir, fermented or acidified milk or cream, whether or not concentrated or containing added sweetening, flavouring, fruit or cocoa (excluding yoghurt)",1,Live animals; animal products,2566.265,4.745998948720887e-5
2021,398,40410,"Dairy produce: whey, whether or not concentrated or containing added sugar or other sweetening matter",1,Live animals; animal products,180.687,3.3415890878281515e-6
2021,398,40490,"Dairy produce: natural milk constituents (excluding whey), whether or not containing added sugar or other sweetening matter, n.e.s. in chapter 04",1,Live animals; animal products,38.195,7.063706587059182e-7
2021,398,40510,"Dairy produce: derived from milk, butter",1,Live animals; animal products,15480.121,2.8628624866127285e-4
2021,398,40520,Dairy produce: dairy spreads,1,Live animals; animal products,2.526,4.671533666425315e-8
2021,398,40590,Dairy produce: fats and oils derived from milk (other than butter or dairy spreads),1,Live animals; animal products,2190.026,4.050190098712101e-5
2021,398,40610,"Dairy produce: fresh cheese (including whey cheese), not fermented, and curd",1,Live animals; animal products,2191.342,4.052623882680833e-5
2021,398,40630,"Dairy produce: cheese, processed (not grated or powdered)",1,Live animals; animal products,97.085,1.7954704909141003e-6
2021,398,40640,"Dairy produce: cheese, blue-veined (not grated, powdered or processed)",1,Live animals; animal products,2.834,5.2411426803837465e-8
2021,398,40690,"Dairy produce: cheese (not grated, powdered or processed), n.e.s. in heading no. 0406",1,Live animals; animal products,9393.382,1.73719320089444e-4
2021,398,40700,"Eggs: birds' eggs, in the shell, fresh, preserved or cooked",1,Live animals; animal products,4078.669,7.5430085303663e-5
2021,398,40891,"Eggs: birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",1,Live animals; animal products,470.637,8.703866152673837e-6
2021,398,40900,Honey: natural,1,Live animals; animal products,428.698,7.928254709933491e-6
2021,398,41000,"Animal products: edible, n.e.s. in this or other chapters",1,Live animals; animal products,2.202,4.072334573819693e-8
2021,398,50400,"Animal products: guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked",1,Live animals; animal products,1037.437,1.918615151344133e-5
2021,398,50510,"Animal products: feathers and down used for stuffing, not further worked than cleaned, disinfected or treated for preservation",1,Live animals; animal products,189.104,3.497251395311532e-6
2021,398,50790,"Animal products: tortoise-shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared but not cut to shape, waste and powder of these products",1,Live animals; animal products,672.7169999999999,1.2441093085814086e-5
2021,398,51000,"Animal products: ambergris, castoreum, civet, musk, cantharides, bile (dried or not) glands and other animal products, for pharmaceutical purposes, fresh, chilled, frozen or otherwise provisionally preserved",1,Live animals; animal products,17099.872,3.162415983355645e-4
2021,398,51191,"Animal products: of fish or crustaceans, molluscs or other aquatic invertebrates and dead animals of chapter 3, unfit for human consumption",1,Live animals; animal products,3347.1440000000002,6.190140887717141e-5
2021,398,51199,Animal products: n.e.s. in chapter 5,1,Live animals; animal products,1690.9160000000002,3.127146089112126e-5
2021,398,60110,"Plants, live: bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant",2,Vegetable products,0.051000000000000004,9.431837568792205e-10
2021,398,60120,"Plants, live: bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower, chicory plants and roots other than of heading no. 1212",2,Vegetable products,53.812,9.95188320101659e-7
2021,398,60210,"Plants, live: unrooted cuttings and slips",2,Vegetable products,574.451,1.0623781418098532e-5
2021,398,60220,"Plants, live: edible fruit or nut trees, shrubs and bushes, grafted or not",2,Vegetable products,3.848,7.11641391464949e-8
2021,398,60230,"Plants, live: rhododendrons and azaleas, grafted or not",2,Vegetable products,6.894,1.2749625137108522e-7
2021,398,60240,"Plants, live: roses, grafted or not",2,Vegetable products,36.327,6.718242418853224e-7
2021,398,60290,"Plants, live: n.e.s. in heading no. 0602",2,Vegetable products,66.13199999999999,1.2230319256850314e-6
2021,398,60310,"Flowers, cut: flowers, buds of a kind suitable for bouquets or for ornamental purposes, fresh",2,Vegetable products,2410.0679999999998,4.457131354067429e-5
2021,398,60390,Flowers: n.e.s. in heading no. 0603,2,Vegetable products,7.094,1.3119501120198413e-7
2021,398,60491,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses: being goods of a kind suitable for bouquets or for ornamental purposes, fresh",2,Vegetable products,28.788,5.323994900595882e-7
2021,398,60499,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses: kind suitable for bouquets or for ornamental purposes dried, dyed, bleached, impregnated, otherwise prepared, excluding fresh",2,Vegetable products,0.629,1.1632599668177052e-8
2021,398,70190,"Vegetables: potatoes (other than seed), fresh or chilled",2,Vegetable products,20323.4,3.7585687773645393e-4
2021,398,70200,"Vegetables: tomatoes, fresh or chilled",2,Vegetable products,15622.731,2.889236493586953e-4
2021,398,70310,"Vegetables, alliaceous: onions and shallots, fresh or chilled",2,Vegetable products,9474.312,1.7521602325501728e-4
2021,398,70320,"Vegetables, alliaceous: garlic, fresh or chilled",2,Vegetable products,37.922,7.013218515367411e-7
2021,398,70390,"Vegetables, alliaceous: leeks and other kinds n.e.s. in heading no. 0703, fresh or chilled",2,Vegetable products,50.663000000000004,9.369513465641559e-7
2021,398,70410,"Vegetables, brassica: cauliflowers and headed broccoli, fresh or chilled",2,Vegetable products,96.91999999999999,1.7924190140536086e-6
2021,398,70490,"Vegetables, brassica: edible, n.e.s. in heading no. 0704, fresh or chilled",2,Vegetable products,2214.0710000000004,4.094658438779084e-5
