t,i,j,name,k,hs02_desc,v,q
2021,398,156,People's Republic of China,121410,Lucerne (alfalfa) meal and pellets,421.803,     1817.000
2021,398,156,People's Republic of China,140490,Vegetable products: n.e.s. in chapter 14,408.482,       85.638
2021,398,156,People's Republic of China,260400,Nickel ores and concentrates,395.696,      960.000
2021,398,156,People's Republic of China,410510,"Tanned or crust skins of sheep and lambs, without wool on, whether or not split, but not further prepared, in the wet state ( including wet blue)",309.536,      349.760
2021,398,156,People's Republic of China,410419,"Tanned or crust hides and skins: bovine or equine, without hair on, in the wet state (including wet blue),excluding full grains, unsplit: grain splits",280.211,      169.406
2021,398,156,People's Republic of China,30379,"Fish: frozen, n.e.s. in heading no. 0303 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",263.759,      309.992
2021,398,156,People's Republic of China,710310,"Stones: precious (other than diamonds) and semi-precious stones, unworked or simply sawn or roughly shaped, not strung, mounted or set",248.181,       78.837
2021,398,156,People's Republic of China,280490,Selenium,239.8,       11.990
2021,398,156,People's Republic of China,121190,"Plants and parts (including seeds and fruits) n.e.s. in heading no. 1211, used primarily in perfumery, pharmacy or for insecticidal, fungicidal purposes: fresh or dried, whether or not cut, crushed or powdered",204.182,      246.451
2021,398,156,People's Republic of China,251010,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk: unground",202.799,     3588.000
2021,398,156,People's Republic of China,190531,"Food preparations: sweet biscuits, whether or not containing cocoa",115.715,       66.547
2021,398,156,People's Republic of China,520514,"Cotton yarn: (not sewing thread), single, of uncombed fibres, 85% or more by weight of cotton, less than 192.31 but not less than 125 decitex (exceeding 52 but not exceeding 80 metric number), not for retail sale",110.56,       39.012
2021,398,156,People's Republic of China,720840,"Iron or non-alloy steel: (not in coils), flat-rolled, of a width 600mm or more, hot-rolled, with patterns in relief",109.063,      181.070
2021,398,156,People's Republic of China,230690,"Oil-cake and other solid residues: whether or not ground or in the form of pellets, resulting from the extraction of oils, n.e.s. in heading no. 2306",107.749,      456.000
2021,398,156,People's Republic of China,720852,"Iron or non-alloy steel: (not in coils), flat-rolled, of a width 600mm or more, hot-rolled, without patterns in relief, of a thickness of 4.75mm or more but not exceeding 10mm",107.72,      237.930
2021,398,156,People's Republic of China,810320,"Tantalum: unwrought, including bars and rods obtained simply by sintering, powders",102.081,        0.222
2021,398,156,People's Republic of China,230630,"Oil-cake and other solid residues: whether or not ground or in the form of pellets, resulting from the extraction of sunflower seed oils",99.488,      510.700
2021,398,156,People's Republic of China,510219,"Hair: fine animal hair, not carded or combed, other than of kashmir (cashmere) goats",97.102,       97.102
2021,398,156,People's Republic of China,190219,"Food preparations: pasta, uncooked (excluding that containing eggs), not stuffed or otherwise prepared",90.163,      193.790
2021,398,156,People's Republic of China,151219,"Vegetable oils: sunflower seed or safflower oil and their fractions, other than crude, whether or not refined, but not chemically modified",89.393,       60.480
2021,398,156,People's Republic of China,720918,"Iron or non-alloy steel: in coils, flat-rolled, width 600mm or more, cold-rolled, of a thickness of less than 0.5mm",79.219,      120.040
2021,398,156,People's Republic of China,40900,Honey: natural,78.834,       29.252
2021,398,156,People's Republic of China,284130,Salts: sodium dichromate,72.124,       60.000
2021,398,156,People's Republic of China,480519,"Paper and paperboard: uncoated, fluting paper other than semi-chemical or straw, rolls or sheets",65.496,      187.122
2021,398,156,People's Republic of China,420221,"Cases and containers: handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather, of composition leather or of patent leather",63.017,        0.243
2021,398,156,People's Republic of China,720836,"Iron or non-alloy steel: in coils, without patterns in relief, flat-rolled, of a width 600mm or more, hot-rolled, of a thickness exceeding 10mm",62.994,      119.670
2021,398,156,People's Republic of China,120100,Soya beans: whether or not broken,58.754,      134.960
2021,398,156,People's Republic of China,740329,Copper: copper alloys n.e.s. in heading no. 7403 (other than master alloys of heading no. 7405),53.134,        2.200
2021,398,156,People's Republic of China,220300,Beer: made from malt,33.551,       60.004
2021,398,156,People's Republic of China,720810,"Iron or non-alloy steel: in coils, flat-rolled, of a width 600mm or more, hot-rolled, with patterns in relief",33.134,       51.230
2021,398,156,People's Republic of China,190590,"Food preparations: bakers' wares n.e.s. in heading no. 1605, whether or not containing cocoa: communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice papers and similar products",31.581,       13.743
2021,398,156,People's Republic of China,250621,Quartzite: crude or roughly trimmed,26.113,      487.323
2021,398,156,People's Republic of China,761519,"Aluminium: table, kitchen or other household articles and parts thereof, n.e.s. in item no. 7615.11",25.679,       10.428
2021,398,156,People's Republic of China,854441,"Insulated electric conductors: for a voltage not exceeding 80 volts, fitted with connectors",22.373,        2.143
2021,398,156,People's Republic of China,420222,"Cases and containers: handbags (whether or not with shoulder strap and including those without handle), with outer surface of plastic sheeting or of textile materials",21.526,        0.135
2021,398,156,People's Republic of China,190532,"Food preparations: waffles and wafers, whether or not containing cocoa",13.398,        8.842
2021,398,156,People's Republic of China,820719,"Tools, interchangeable: rock drilling or earth boring tools, with working part (other than of cermets), whether or not power operated, including parts",11.921,       22.550
2021,398,156,People's Republic of China,732510,Iron: articles of non-malleable cast iron,11.607,       25.870
