i,s,name,region,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Metals,14,Estonia,Europe and Central Asia,-6.294222713528469e-4,-6.189790242482616e-4,-4.7817451118120695e-4,-4.6581105659263553e-4,-4.0146051786140444e-4,-4.344807572329315e-4,-4.58836175162481e-4,-5.451476289014733e-4,-5.75063238737776e-4,-5.807650799285186e-4,-5.018446041667935e-4,-5.26995763054301e-4,-4.6618508295700236e-4,-4.885830920480777e-4,-0.0012402785340635695,-6.46160713922153e-4
Metals,15,Finland,Europe and Central Asia,-0.005451081620956444,-0.005282777405295981,-0.004341473939673418,-0.003455390971122407,-0.00343197655610032,-0.0027361171156998496,-0.002844466676685222,-0.0031433373568944285,-0.0028405334847073746,-0.002800485873152671,-0.0027631482386397685,-0.00254403380650358,-0.0023053226932699257,-0.0020812449135160327,-0.003186055460397849,-0.0021458556974458323
Metals,16,France,Europe and Central Asia,-0.03693765126307854,-0.03867739677309079,-0.03169709527204316,-0.030913057871106507,-0.02802981156015998,-0.024689006145855105,-0.02549834950659087,-0.026147174105506335,-0.024036750765472226,-0.023680028434262385,-0.02494606306268181,-0.030465107031722897,-0.025565429390145007,-0.02232332820791302,-0.022547454891491223,-0.02351491264902553
Metals,17,United Kingdom,Europe and Central Asia,-0.03907052887842396,-0.05095172871715024,-0.06016738421643929,-0.04478956799101952,-0.037842514214339554,-0.042393121599660424,-0.041922506458783655,-0.030582268709823793,-0.04777635433114369,-0.05133749063322821,-0.039737779520784514,-0.03881812396325951,-0.02314735448599286,-0.02219960390577066,-0.0442251216081049,-0.027185736567831353
Metals,18,Greece,Europe and Central Asia,-0.005510588284752843,-0.007055749942607784,-0.005569802771097936,-0.0058048710643288865,-0.003777804991825413,-0.002667549261853136,-0.0024826933501977304,-0.0044014668469034525,-0.0035430791192237626,-0.007361373091521143,-0.006348488076091178,-0.006216221925029075,-0.005949722492498717,-0.007883016375262066,-0.006705391862924176,-0.005194409181200076
Metals,19,Croatia,Europe and Central Asia,-0.0011645834060041846,-0.0010698325030128958,-0.0010250885777518626,-8.680406050118172e-4,-7.541612064166845e-4,-7.104112750795456e-4,-8.25979125741464e-4,-8.482884045182128e-4,-7.329941779820781e-4,-6.70873198697755e-4,-0.0011397872503694736,-0.0014630068410989875,-7.445758172202437e-4,-7.234883172735e-4,-0.0015186289037273759,-0.0010529860003429953
Metals,20,Hungary,Europe and Central Asia,-0.002510357288002207,-0.0026649474425379086,-0.0023256762086447326,-0.002378208497071607,-0.0021475224407486843,-0.0018643801861087186,-0.001882378535973147,-0.0019210498354823552,-0.001758162983579058,-0.0017204881406843832,-0.001869905047394948,-0.0021518630035203515,-0.002284147652272859,-0.0022024687575020645,-0.0029375487155303215,-0.0021934919116239427
Metals,21,Indonesia,East Asia and Pacific,-0.004988122945287791,-0.0061312678527717145,-0.005079043470254386,-0.006286986154580834,-0.0069440402833199555,-0.007406275161752008,-0.006429469388631855,-0.00572178619110622,-0.005581814262084159,-0.005128736098677092,-0.005264577769551275,-0.005729402879578661,-0.009730218688589759,-0.00949239513065042,-0.01216964964091323,-0.016789758857743177
Metals,22,India,South Asia,-0.014838553121768766,-0.015044037095641036,-0.019153479867310856,-0.02029469523961488,-0.01688517068216863,-0.017347261965097695,-0.014257953809029058,-0.014457666531884267,-0.013575234284292944,-0.015002939530064173,-0.01553361635518007,-0.02126302299991763,-0.02178314046380061,-0.018634251446488146,-0.018623165645307263,-0.017780931145072815
Metals,23,Ireland,Europe and Central Asia,-0.0038612222988089087,-0.004367216541722464,-0.004158040114971926,-0.003273366000809065,-0.0029292292755780224,-0.003318819761777753,-0.0028139637790370025,-0.0027575104981550987,-0.00415974077658139,-0.00451857718093615,-0.0043372796380258295,-0.004644893676810433,-0.00388706436029075,-0.005063611660333052,-0.006772304612403919,-0.005147362673246348
Metals,24,Italy,Europe and Central Asia,-0.09186542741048297,-0.06436363307139145,-0.04185389427221355,-0.04230879475494657,-0.03533801582367573,-0.027823274846468918,-0.03251021529555875,-0.035230666784089565,-0.03249754174495716,-0.03550666374400592,-0.03470186475944083,-0.05000183348591979,-0.023762681747678597,-0.019099496403468683,-0.020750001621996306,-0.034396579165632955
Metals,25,Japan,East Asia and Pacific,-0.05077285450875211,-0.059095287240476,-0.04502769867453232,-0.05544762714805884,-0.060685119419304566,-0.0628538676652847,-0.04392283791427256,-0.04460564466416413,-0.04621645424546679,-0.04116250603614571,-0.043644386828078294,-0.04562094247624783,-0.04283422245922907,-0.039133473561371424,-0.038216500058237436,-0.03795270799763626
Metals,26,Republic of Korea,East Asia and Pacific,-0.022849907970121916,-0.020740232899739267,-0.01774726452309132,-0.021075188514640256,-0.01944278673084561,-0.019298389204698774,-0.01729774766585495,-0.017656595760333422,-0.018755938066769787,-0.018936858296037747,-0.020861873578911415,-0.02566755270305046,-0.02800832282345071,-0.03126750413381447,-0.023110461818879668,-0.026226144213346875
Metals,27,Lithuania,Europe and Central Asia,-0.0013285850327243926,-0.001361392735099066,-0.0011455624132441632,-0.001104670379676237,-0.001070285017722151,-0.0012089765455157292,-0.0014081403682956915,-0.0014614940126762505,-0.0016603404766031083,-0.001646643184992405,-0.0015483195009171884,-0.0018285778624789707,-0.0013112741841413117,-0.0025332282687143427,-0.0031194393738045016,-0.0018566448302388147
Metals,28,Luxembourg,Europe and Central Asia,-0.0010441256636001613,-0.0010684655426408615,-9.323396840132935e-4,-9.584648439949728e-4,-8.442180323445868e-4,-7.843229247456395e-4,-8.147396418165887e-4,-8.74989447851985e-4,-9.016291085067168e-4,-9.643104367420659e-4,-8.284829274870501e-4,-8.413506321701941e-4,-7.597082451843891e-4,-8.154392109459369e-4,-0.0011604877757713983,-8.375803494828587e-4
Metals,29,Latvia,Europe and Central Asia,-0.0014596806930654211,-0.0024014292635116097,-8.955691191639201e-4,-0.0012002060372397095,-5.696028741717775e-4,-7.891620248359495e-4,-7.193873071889345e-4,-7.061412030304752e-4,-7.011623636403052e-4,-7.519138361332587e-4,-7.067997013272579e-4,-7.638003484890424e-4,-7.643693136996232e-4,-9.281012585067811e-4,-0.0016452453013708025,-8.312142617858428e-4
