s,i,t,current_level,current_growth,constant_level,constant_growth,name_short
49,19,2021,10.691562039042958,-0.37111018999617507,11.239460422163937,-0.4152336991558859,Sale of motor vehicles
49,19,2022,5.454310458028574,-0.48984905684400726,5.463263271322278,-0.5139212145318952,Sale of motor vehicles
49,20,2007,1629.4541112423199,NA,2041.1400842661496,NA,Wholesale trade
49,20,2008,3300.462201525141,1.0255017792485241,3429.4481565849624,0.6801630534917209,Wholesale trade
49,20,2009,1766.8741741354377,-0.46465856408870054,2060.9518872729145,-0.3990427050732249,Wholesale trade
49,20,2010,1990.6158547464065,0.1266313605610596,1990.6158547464065,-0.03412793523267432,Wholesale trade
49,20,2011,2244.763109528799,0.12767267686349726,1912.6738095107783,-0.039154739499227764,Wholesale trade
49,20,2012,3808.308213041334,0.6965301135230884,3132.898376173483,0.6379679381790733,Wholesale trade
49,20,2013,4243.466067967163,0.1142653983298032,3413.726662223894,0.08963849200669394,Wholesale trade
49,20,2014,2134.912765504632,-0.4968941117214203,1852.5140959902037,-0.4573337940351172,Wholesale trade
49,20,2015,2118.699219880376,-0.007594476873355238,2057.6777178311286,0.110748750730159,Wholesale trade
49,20,2016,1992.2661701974453,-0.05967484600766937,2436.759330075795,0.18422788416265345,Wholesale trade
49,20,2017,1916.8861695990975,-0.03783631009047206,2114.689387132508,-0.13217142085725353,Wholesale trade
49,20,2018,1638.4288476297618,-0.14526544475385983,1776.4131074522984,-0.15996499615430892,Wholesale trade
49,20,2019,1328.1466315806415,-0.18937790096774176,1488.9271244880588,-0.16183509441480481,Wholesale trade
49,20,2020,997.6803226738921,-0.2488176388426765,1015.4615780776318,-0.3179910813789626,Wholesale trade
49,20,2021,1250.8319522623103,0.2537402250351539,1301.6637490804849,0.281844411626742,Wholesale trade
49,20,2022,886.6299179227221,-0.2911678372789216,901.2883523596346,-0.3075874218696507,Wholesale trade
49,21,2007,302.9552705007,NA,377.2160610105852,NA,Retail trade & repair
49,21,2008,523.9100426387306,0.7293313358531588,544.134936017991,0.4425020359955507,Retail trade & repair
49,21,2009,223.60066038558128,-0.5732079132146581,260.33933688837766,-0.5215537182862121,Retail trade & repair
49,21,2010,271.84693041362925,0.21576980114840083,271.84693041362925,0.044202284844051754,Retail trade & repair
49,21,2011,376.1736147943168,0.38376995547438786,320.33955004540064,0.17838207537597484,Retail trade & repair
49,21,2012,3.8747327307771893,-0.9896996158731234,3.1893592912083446,-0.9900438166603021,Retail trade & repair
49,21,2013,0.005413073036321417,-0.9986029815699738,0.004375939179589741,-0.9986279566583632,Retail trade & repair
49,21,2014,259.65660079094283,47967.427369936,225.34940774651886,51496.38113308195,Retail trade & repair
49,21,2015,262.7346616993453,0.011854352629689924,255.6155490062855,0.13430761395126933,Retail trade & repair
49,21,2016,114.00057745622715,-0.5660999705220424,141.14691797330934,-0.4478156022901464,Retail trade & repair
49,21,2017,210.8358359052171,0.8494277889616113,234.0860997137635,0.6584570394801594,Retail trade & repair
49,21,2018,114.84410131256736,-0.4552913606005934,124.09979922999034,-0.46985404352613225,Retail trade & repair
49,21,2019,97.446377312568,-0.1514899224353592,108.11252927300245,-0.12882591314559,Retail trade & repair
49,21,2020,142.1850824151208,0.459111014040567,141.47467013448045,0.30858718305658117,Retail trade & repair
49,21,2021,135.4121062089575,-0.04763492829992566,139.05389866519894,-0.017110988610048783,Retail trade & repair
49,21,2022,82.9707836290356,-0.38727203976133795,82.23597786753962,-0.4086035799288177,Retail trade & repair
49,22,2007,0,NA,0,NA,Hotels & restaurants
49,22,2008,0,NA,0,NA,Hotels & restaurants
49,22,2009,0,NA,0,NA,Hotels & restaurants
49,22,2010,0,NA,0,NA,Hotels & restaurants
49,22,2011,0,NA,0,NA,Hotels & restaurants
49,22,2012,0,NA,0,NA,Hotels & restaurants
49,22,2013,0,NA,0,NA,Hotels & restaurants
49,22,2014,0,NA,0,NA,Hotels & restaurants
49,22,2015,0,NA,0,NA,Hotels & restaurants
49,22,2016,0,NA,0,NA,Hotels & restaurants
49,22,2017,0,NA,0,NA,Hotels & restaurants
49,22,2018,0,NA,0,NA,Hotels & restaurants
